key;iga_global_value;iga_local_value;iga_access;gcv;gcv_returntype;ig
xdebug.idekey;;;7;;boolean;
xdebug.max_nesting_level;256;256;7;;boolean;256
xdebug.max_stack_frames;-1;-1;7;;boolean;-1
xdebug.overload_var_dump;1;1;7;;boolean;1
xdebug.profiler_aggregate;0;0;6;;boolean;0
xdebug.profiler_append;0;0;6;;boolean;0
xdebug.profiler_enable;0;0;6;;boolean;0
xdebug.profiler_enable_trigger;0;0;6;;boolean;0
xdebug.profiler_enable_trigger_value;;;6;;boolean;
xdebug.profiler_output_dir;/tmp;/tmp;6;;boolean;/tmp
xdebug.profiler_output_name;cachegrind.out.%p;cachegrind.out.%p;6;;boolean;cachegrind.out.%p
xdebug.remote_autostart;0;0;7;;boolean;0
xdebug.remote_connect_back;0;0;7;;boolean;0
xdebug.remote_cookie_expire_time;3600;3600;7;;boolean;3600
xdebug.remote_enable;0;0;6;;boolean;0
xdebug.remote_handler;dbgp;dbgp;7;;boolean;dbgp
xdebug.remote_host;localhost;localhost;7;;boolean;localhost
xdebug.remote_log;;;7;;boolean;
xdebug.remote_mode;req;req;7;;boolean;req
xdebug.remote_port;9000;9000;7;;boolean;9000
xdebug.scream;0;0;7;;boolean;0
xdebug.show_exception_trace;0;0;7;;boolean;0
xdebug.show_local_vars;0;0;7;;boolean;0
xdebug.show_mem_delta;0;0;7;;boolean;0
xdebug.trace_enable_trigger;0;0;6;;boolean;0
xdebug.trace_enable_trigger_value;;;6;;boolean;
xdebug.trace_format;0;0;7;;boolean;0
xdebug.trace_options;0;0;7;;boolean;0
xdebug.trace_output_dir;/tmp;/tmp;7;;boolean;/tmp
xdebug.trace_output_name;trace.%c;trace.%c;7;;boolean;trace.%c
xdebug.var_display_max_children;128;128;7;;boolean;128
xdebug.var_display_max_data;512;512;7;;boolean;512
xdebug.var_display_max_depth;3;3;7;;boolean;3
xmlrpc_error_number;0;0;7;;boolean;0
xmlrpc_errors;0;0;4;;boolean;0
xsl.security_prefs;44;44;7;;boolean;44
zend.detect_unicode;1;1;7;;boolean;1
zend.enable_gc;1;1;7;1;string;1
zend.multibyte;0;0;2;;boolean;0
zend.script_encoding;;;7;;boolean;
zlib.output_compression;;;7;;string;
zlib.output_compression_level;-1;-1;7;;boolean;-1
zlib.output_handler;;;7;;boolean;
